codigo;categoria;marca;nuevo;descuento;producto;precio;inventario
JD511201-G;2;26;0;0;VALVULA ADM PULSAR 135;8000;1
5VL-W2533-20ESP-5VLF6282;2;13;0;0;ESPEJOS LIBERO 125 YAMAHA;28000;206
809387;2;21;0;0;GUIAS CADENILLAS BOXER CT 100 HA BICICLETAS;29000;2
JJ-3092;2;30;0;0;PIÑON ATAQUE PULSAR 135 13T STRONG DJM;7000;61
MBR1001;2;27;0;0;CABRILLA GN 125 DURAMAX;36000;2
pd012858;2;11;0;0;PIÑON ATAQUE KLX 150 14T CASSARELLA;17000;13
PD017702;2;2;0;0;PIÑON ATAQUE KLX 125-150 14t GAVIRIA;11000;4
PIÑ0031;2;24;0;0;PIÑON ATAQUE FR 80 15T 420 DURAMAX;6000;13
PIÑ0032;2;16;0;0;PIÑON ATAQUE V 80 480 DURAMAX;6000;1
PIÑONECO;2;8;0;0;PIÑON ATAQUE ECONOMICO DK;6000;1
VAK21;2;5;0;0;EMPAQUE TAPA VOLANTE AKT CR5 JKM2;4000;3
YC3062;2;16;0;0;KIT CILINDRO CB 160F REVO IGB;189000;2
CAMJER;2;21;0;0;CAMISA JERSEY;35000;4
CUBR123;2;29;0;0;CUBRE BOCAS SURTIDO;25000;6
CUE22;2;16;0;0;CUELLO MULTIFUNCIONAL BIKENERS;22000;12
CUE25;2;16;0;0;CUELLO MULTIFUNCIONAL GETO;12000;13
CUE26;2;30;0;0;PASAMONTAÑA BALACLAVA CON CAPOTA;18000;12
GOR21;2;3;0;0;GORRA MULTICOLOR DEPORTIVA;21000;26
GOR32;2;7;0;0;GORRA PLANA VARIAS;32000;2
GOR40;2;17;0;0;GORRA PLANA 1;40000;1
GORAD;2;1;0;0;GORRA ADLER;30000;1
GORDEP;2;17;0;0;GORRA DEPORTIVA IMITACION 01;30000;6
GORFLE;2;5;0;0;GORRA LEGACY UNISEX;35000;5
GORNI;2;24;0;0;GORRA PARA NIÑOS;20000;3
GORRA;2;9;0;0;GORRA DEPORTIVA IMITACION JERSEY GAFAS;29000;14
LLALAR;2;3;0;0;LLAVERO LARGO TIPO CAUCHO 2.5CM GETO;5000;430
MANGA8;2;11;0;0;MANGAS MULTICOLOR;8000;13
1;1;23;0;0;ACEITE LUBEMAX SAE-50 4T MULTIGRADO KOMER;15000;2
23;1;28;0;0;ACEITE LUBEMAX 2T PINTA KOMER;9500;25
981;1;17;0;0;ACEITE LUBEMAX 20W50 CUARTO KOMER;16000;24
21400091276;1;21;0;0;ACEITE ADVANCE 20W50 4T LITRO;28000;155
2913;1;26;0;0;ACEITE 20W50 FULL LINE KOMER;500000;3
71924449244;1;17;0;0;ACEITE MOBIL 1 10W40 RACING 4T 21008022 AUTECO MOBILITY;55000;42
79191212554;1;26;0;0;ACEITE CASTROL 2T ACTEVO AKT;19000;1
79191216248;1;7;0;0;ACEITE CASTROL 25W60 ESSENTI QT RP AKT;31000;191
79191217672;1;10;0;0;ACEITE CASTROL 20W50 ACTEVO AKT;31000;637
79191261149;1;30;0;0;ACEITE CASTROL 10W50 POWER RP AKT;55000;1
79567570301;1;14;0;0;ACEITE 3 EN 1;6000;5
10013;1;18;0;0;ACEITE 2T OIL ECOLOGICO PINTA MOTO REYES;12500;4
1200HERO;1;12;0;0;ACEITE HERO 10W30 HERO 4T 1200L;38000;810
3,37E+12;1;10;0;0;ACEITE MOTUL SCOOTER 5W40 ALAR;49000;22
3,37E+12;1;21;0;0;ACEITE MOTUL 510 2T ALAR;36000;9
